title,url,status,date,category,pillar
CPS 510 Governance,https://handbook.apra.gov.au/standard/cps-510,Current,,Standards and practice guides,
APG 223 Residential Mortgage Lending,https://handbook.apra.gov.au/ppg/apg-223,Current,,Standards and practice guides,
CPS 520 Fit and Proper,https://handbook.apra.gov.au/standard/cps-520,Current,,Standards and practice guides,
APG 520 Fit and Proper,https://handbook.apra.gov.au/ppg/apg-520,Current,,Standards and practice guides,
CPS 511 Remuneration,https://handbook.apra.gov.au/standard/cps-511,Current,,Standards and practice guides,
CPG 511 Remuneration,https://handbook.apra.gov.au/ppg/cpg-511,Current,,Standards and practice guides,
3PS 310 Audit and Related Matters,https://handbook.apra.gov.au/standard/3ps-310,Current,1 July 2017,Standards and practice guides,
APS 310 Audit and Related Matters,https://handbook.apra.gov.au/standard/aps-310,Current,1 January 2023,Standards and practice guides,
APS 330 Public Disclosure,https://handbook.apra.gov.au/standard/aps-330,Current,1 January 2025,Standards and practice guides,
CPS 001 Defined terms,https://handbook.apra.gov.au/standard/cps-001,Current,,Standards and practice guides,
CPS 220 Risk Management,https://handbook.apra.gov.au/standard/cps-220,Current,,Standards and practice guides,
APG 117 Interest Rate Risk in the Banking Book (Advanced ADIs),https://handbook.apra.gov.au/ppg/apg-117,Current,,Standards and practice guides,
CPG 220 Risk Management,https://handbook.apra.gov.au/ppg/cpg-220,Current,,Standards and practice guides,
APG 117 Interest Rate Risk in the Banking Book,https://handbook.apra.gov.au/ppg/apg-117-final-not-force,Current,,Standards and practice guides,
CPG 229 Climate Change Financial Risks,https://handbook.apra.gov.au/ppg/cpg-229,Current,,Standards and practice guides,
CPG 230 Operational Risk Management,https://handbook.apra.gov.au/ppg/cpg-230,Final not yet in force,,Standards and practice guides,
CPS 230 Operational Risk Management,https://handbook.apra.gov.au/standard/cps-230-final-not-force,Current,,Standards and practice guides,
CPS 231 Outsourcing,https://handbook.apra.gov.au/standard/cps-231,Current,,Standards and practice guides,
CPG 231 Outsourcing,https://handbook.apra.gov.au/ppg/cpg-231,Current,,Standards and practice guides,
CPS 232 Business Continuity Management,https://handbook.apra.gov.au/standard/cps-232,Current,1 July 2017 – 30 June 2025,Standards and practice guides,
CPG 233 Pandemic Planning,https://handbook.apra.gov.au/ppg/cpg-233,Current,,Standards and practice guides,
CPS 234 Information Security,https://handbook.apra.gov.au/standard/cps-234,Current,,Standards and practice guides,
CPG 234 Information Security,https://handbook.apra.gov.au/ppg/cpg-234,Current,,Standards and practice guides,
CPG 235 Managing Data Risk,https://handbook.apra.gov.au/ppg/cpg-235,Current,1 September 2013,Standards and practice guides,
APS 220 Credit Risk Management,https://handbook.apra.gov.au/standard/aps-220,Current,,Standards and practice guides,
APG 220 Credit risk management,https://handbook.apra.gov.au/ppg/apg-220,Current,,Standards and practice guides,
3PS 221 Aggregate Risk Exposures,https://handbook.apra.gov.au/standard/3ps-221,Current,,Standards and practice guides,
3PG 221 Aggregate Risk Exposures,https://handbook.apra.gov.au/ppg/3pg-221,Current,,Standards and practice guides,
APS 221 Large Exposures,https://handbook.apra.gov.au/standard/aps-221,Current,,Standards and practice guides,
3PS 222 Intra-group Transaction and Exposures,https://handbook.apra.gov.au/standard/3ps-222,Current,,Standards and practice guides,
3PG 222 Intra-Group Transactions and Exposures,https://handbook.apra.gov.au/ppg/3pg-222,Current,,Standards and practice guides,
APS 222 Associations with Related Entities,https://handbook.apra.gov.au/standard/aps-222,Current,,Standards and practice guides,
CPS 226 Margining and Risk Mitigation for Non-Centrally Cleared Derivatives,https://handbook.apra.gov.au/standard/cps-226,Current,,Standards and practice guides,
APS 110 Capital Adequacy,https://handbook.apra.gov.au/standard/aps-110,Final not yet in force,,Standards and practice guides,
